alpha,max_depth,initial_length,density_weight,density_depth_weight,density_direction_weight,density_survival_weight,density_angle_span,density_horizon_weight,edges,terminals,length,occupied_grid_coverage,coverage_dispersion,terminal_density_score,matched_terminal_density_score,density_lift_over_random,search_score
0.76,6,0.26,0.6,0.5,0.7,0.0,1.0,0.0,55.06666666666667,26.4,5.793451875292502,0.056751054852320675,0.07540746917205828,0.13761258846018143,0.1342103822841062,-0.027864610083427523,0.11899503631303136
0.76,6,0.26,0.6,0.5,0.9,0.0,1.0,1.0,55.93333333333333,26.466666666666665,5.871972698417835,0.058227848101265814,0.07931522001683239,0.1383368073392114,0.1350054650728946,-0.02924543705815112,0.11521476608976812
0.76,6,0.26,0.6,0.5,0.9,0.0,1.5,0.0,55.93333333333333,26.733333333333334,5.863207225649835,0.058438818565400834,0.050122524477385764,0.13511337948209057,0.1344934711095288,-0.030688202426703913,0.11252189433580788
0.76,6,0.26,0.6,0.75,0.7,0.0,1.0,0.0,56.333333333333336,26.8,5.851152547670698,0.055907172995780595,0.08007727103708483,0.14408820282237275,0.14016234215719262,-0.020292312744802084,0.11195222592945743
0.76,6,0.26,0.6,0.5,0.9,0.0,1.0,0.0,53.93333333333333,25.8,5.697416766155434,0.0580168776371308,0.08208337943122304,0.12250430743764548,0.11956520097781903,-0.04340365565503045,0.10441382268205338
0.76,6,0.26,0.6,0.75,0.9,0.0,1.5,0.5,57.733333333333334,27.266666666666666,5.986344971545258,0.0590717299578059,0.04842337236539052,0.14309436488571006,0.13957077976803503,-0.024229723615767553,0.10159728281409484
0.76,6,0.26,0.6,0.75,0.7,0.0,1.0,0.5,56.733333333333334,27.066666666666666,5.898272807447211,0.05759493670886076,0.07546528929693275,0.1437216702256949,0.1398431540601038,-0.02149700905763295,0.09970665255361548
0.76,6,0.26,0.6,0.75,0.9,0.0,1.0,1.0,56.53333333333333,26.666666666666668,5.911342819355307,0.058438818565400834,0.08009195075146967,0.13725303770060127,0.13398168639744792,-0.030090573566878255,0.09926478891985724
0.76,6,0.26,0.6,0.5,0.7,0.0,1.5,0.0,56.6,27.133333333333333,5.927324608544768,0.05759493670886076,0.045605400583426374,0.1395915153247138,0.13667683825836133,-0.026438782551562682,0.0986925953942765
0.76,6,0.26,0.6,0.75,0.9,0.0,1.0,0.0,54.266666666666666,25.733333333333334,5.705629527168341,0.05717299578059072,0.0832572730684373,0.119614516133245,0.11641602128842082,-0.04626480304396407,0.09502874631510976
0.76,6,0.26,0.6,0.5,0.7,0.0,1.5,0.5,57.46666666666667,27.333333333333332,5.972486656578902,0.05675105485232066,0.07281811935515367,0.14768455461646393,0.1445478726118302,-0.018941274652281185,0.093743976799477
0.76,6,0.26,0.6,0.5,0.9,0.0,1.0,0.5,55.46666666666667,26.666666666666668,5.8353080842212695,0.059071729957805914,0.07677422721351802,0.130188112381135,0.12997331363908252,-0.03366077611854536,0.0900011929789612
0.76,6,0.26,0.6,0.5,0.9,0.0,1.5,1.0,57.6,27.2,5.995147454087171,0.05675105485232067,0.07959529559141204,0.1437219021705514,0.13997785066660712,-0.023145165762398733,0.08300879531359168
0.76,6,0.26,0.6,0.75,0.7,0.0,1.0,1.0,56.266666666666666,26.666666666666668,5.863921509160279,0.05654008438818566,0.07962717077974918,0.13389971512400003,0.1307058321311951,-0.033630763318412187,0.08185329346879683
0.76,6,0.26,0.6,0.75,0.7,0.0,1.5,0.0,57.666666666666664,27.666666666666668,5.976497936831829,0.058438818565400834,0.045360191486266695,0.14478507119010128,0.1396146253112857,-0.021237846155546605,0.0818041622178535
0.76,6,0.26,0.6,0.5,0.7,0.0,1.5,1.0,57.6,27.4,6.004351200493567,0.058438818565400834,0.07749405275258953,0.1450777984310372,0.1420251980464852,-0.022022951309998186,0.08175737303983485
0.76,6,0.23,0.6,0.5,0.7,0.05,1.5,0.0,62.2,28.133333333333333,5.7097293034209295,0.056751054852320675,0.039790372470863554,0.15101471323644045,0.14969631183212428,-0.014713578126684666,0.07817504044804888
0.76,6,0.26,0.6,0.75,0.9,0.0,1.5,0.0,56.8,27.2,5.902360157650945,0.05864978902953586,0.04983484167784833,0.13424080163802474,0.13183107358562385,-0.03265872162973433,0.0753139928372294
0.76,6,0.23,0.6,0.5,0.7,0.05,1.5,0.5,62.266666666666666,28.266666666666666,5.733451509830998,0.05759493670886076,0.04939880405511377,0.1558756265390491,0.15240554804569617,-0.013558574333715033,0.07272154957947671
0.76,6,0.26,0.6,0.75,0.7,0.0,1.5,0.5,58.666666666666664,27.933333333333334,6.038987376645462,0.058016877637130794,0.07237897964879592,0.1494841929593303,0.1458472260970778,-0.016019110587626343,0.06692556006217576
0.76,6,0.26,0.6,0.75,0.9,0.0,1.5,1.0,58.13333333333333,27.4,6.01549016849886,0.05738396624472573,0.08006184494107416,0.142269885900272,0.13716422986327298,-0.024658897854956393,0.064488795399984
0.76,6,0.26,0.6,0.75,0.9,0.0,1.0,0.5,56.333333333333336,27.0,5.888605567445675,0.05928270042194093,0.07825930822659007,0.13037402582316335,0.1281780174039338,-0.03513267419477409,0.06262146677349399
0.76,6,0.23,0.6,0.5,0.9,0.05,1.5,0.0,62.666666666666664,28.4,5.748657925330263,0.05843881856540085,0.049939614530531494,0.15350241679686918,0.151488299943571,-0.015858495228758922,0.06035905552663143
0.76,6,0.23,0.6,0.75,0.9,0.05,1.5,1.0,63.46666666666667,29.066666666666666,5.720763857507671,0.06033755274261603,0.044669972626199775,0.15928847819467476,0.1574346942256475,-0.0078344918797115,0.05121494435238852
0.76,6,0.26,0.6,0.75,0.7,0.0,1.5,1.0,58.06666666666667,27.666666666666668,6.0256225680479565,0.059071729957805894,0.07534522938256627,0.1394826174741218,0.13676291505320132,-0.027574096318855736,0.048761807943544094
0.76,6,0.23,0.6,0.5,0.9,0.05,1.5,1.0,62.266666666666666,28.6,5.69413112590063,0.06054852320675105,0.04348661036822,0.14952851479519233,0.14606668607322504,-0.018745772552917515,0.043762087403323546
0.76,6,0.23,0.6,0.75,0.7,0.05,1.5,0.0,64.0,28.866666666666667,5.7958231056384015,0.05864978902953587,0.046247989171631525,0.1534469413841901,0.15228257988268823,-0.011434679966896306,0.04316720468798954
0.76,6,0.23,0.6,0.75,0.5,0.05,1.5,0.5,62.13333333333333,28.133333333333333,5.660249702050476,0.057594936708860754,0.0391305177766317,0.1402930527056764,0.13847730597009172,-0.025738805218603833,0.04222363585732106
0.76,6,0.23,0.6,0.5,0.5,0.05,1.5,0.0,61.6,28.133333333333333,5.676210694488065,0.058649789029535875,0.04055243345167619,0.138019206409282,0.13567398509284073,-0.028087961632557026,0.03563174927053683
0.76,6,0.23,0.6,0.75,0.7,0.05,1.5,0.5,64.06666666666666,29.533333333333335,5.764260926174551,0.060337552742616034,0.047112755466592084,0.16353036710376398,0.16029649168048662,-0.004304441491150043,0.031023283728746742
0.76,6,0.23,0.6,0.5,0.5,0.05,1.5,0.5,61.733333333333334,27.933333333333334,5.686054058191532,0.05886075949367088,0.04682113835221556,0.13469678334931925,0.13154096055720535,-0.032325026565362715,0.030720680144462886
0.76,6,0.23,0.6,0.75,0.9,0.05,1.5,0.0,63.666666666666664,28.933333333333334,5.7832656412972385,0.06012658227848101,0.05204876009801654,0.15240508968871838,0.15075262389772007,-0.015176261751744361,0.030042054634875914
0.76,6,0.23,0.6,0.75,0.5,0.05,1.5,0.0,63.0,28.8,5.740412166578178,0.05949367088607595,0.04058671449174982,0.14314780530929033,0.14166125364504378,-0.022385733133843854,0.015558489072146797
0.76,6,0.23,0.6,0.5,0.9,0.05,1.5,0.5,63.6,28.866666666666667,5.814217153576962,0.05780590717299579,0.0514065167413963,0.14810149627849592,0.1420972114990674,-0.022583697745089098,-3.564555530630176e-05
0.76,6,0.23,0.6,0.5,0.7,0.05,1.0,0.5,63.0,28.666666666666668,5.784820174036994,0.059071729957805914,0.05132538567399837,0.13831281731033823,0.13633938792728664,-0.028220558068540447,-0.0032090454741019736
0.76,6,0.23,0.6,0.5,0.9,0.05,1.0,0.5,64.13333333333334,29.266666666666666,5.86273782873566,0.061603375527426146,0.05138591820223825,0.14614301075786704,0.14434627409159267,-0.02014400992500834,-0.006159730021389087
0.76,6,0.23,0.6,0.75,0.7,0.05,1.5,1.0,65.66666666666667,29.6,5.876192859043158,0.06012658227848101,0.05050195421075321,0.1526685269976132,0.15036837385338916,-0.014005405890142538,-0.010234222145755784
0.76,6,0.23,0.6,0.5,0.7,0.05,1.5,1.0,64.2,29.266666666666666,5.859567796297729,0.060548523206751054,0.05184300602365425,0.14683999296854694,0.14333820998347646,-0.021053760333890302,-0.01293013665620224
0.76,6,0.23,0.6,0.75,0.7,0.05,1.0,1.0,64.33333333333333,29.333333333333332,5.846335041538732,0.06033755274261602,0.04599920870381343,0.14350421692092213,0.140596024072105,-0.02349986609196868,-0.02335922973688645
0.76,6,0.23,0.6,0.5,0.9,0.05,1.0,1.0,63.93333333333333,29.6,5.834236784609965,0.06118143459915612,0.042878525483683615,0.1451433379078926,0.1451094668928291,-0.0208991816346145,-0.024171519877272646
0.76,6,0.23,0.6,0.75,0.5,0.05,1.0,1.0,61.86666666666667,28.2,5.677692929873239,0.05654008438818566,0.04404915679556762,0.12446321729429341,0.12304170446264859,-0.042364421052307207,-0.024593708141606913
0.76,6,0.23,0.6,0.75,0.7,0.05,1.0,0.5,64.06666666666666,29.2,5.83277824818927,0.059493670886075954,0.04545645073216997,0.1410416699445585,0.13840928207108297,-0.02577729434086567,-0.024806250628908233
0.76,6,0.23,0.6,0.75,0.9,0.05,1.0,0.5,65.0,29.8,5.880640779476993,0.06244725738396624,0.045361040262115446,0.14826631005424906,0.14624751258764548,-0.017888614027193616,-0.027026265723744114
0.76,6,0.23,0.6,0.75,0.5,0.05,1.0,0.5,63.333333333333336,28.866666666666667,5.761254001322668,0.059071729957805914,0.06919039746664096,0.13751773082870183,0.1349950680865992,-0.028145354184331197,-0.028685033633209317
0.76,6,0.23,0.6,0.75,0.5,0.05,1.0,0.0,63.8,29.0,5.795382687948801,0.05843881856540085,0.06831963085773408,0.13887966908215343,0.13813821793639883,-0.025814496874634527,-0.029278807844926952
0.76,6,0.23,0.6,0.5,0.5,0.05,1.0,0.0,62.333333333333336,28.4,5.732539380124332,0.05822784810126583,0.07276526247564821,0.12924513621930242,0.12778308566526303,-0.03612662644784038,-0.030063328488468516
0.76,6,0.23,0.6,0.5,0.7,0.05,1.0,1.0,64.33333333333333,29.2,5.881486834895531,0.05991561181434599,0.05298029334761682,0.13970239181457647,0.1383960272325461,-0.026795643780151163,-0.030111314549742585
0.76,6,0.23,0.6,0.75,0.9,0.05,1.5,0.5,64.86666666666666,29.6,5.855675070739799,0.05991561181434599,0.05289437144819155,0.14983752274155127,0.14396029149139403,-0.018542566386850857,-0.030989028417033188
0.76,6,0.23,0.6,0.5,0.5,0.05,1.0,1.0,61.86666666666667,28.066666666666666,5.704447063184727,0.05717299578059072,0.05104628562332418,0.11898866580515038,0.1195381971319973,-0.046918604127967965,-0.03266293901440474
0.76,6,0.23,0.6,0.5,0.9,0.05,1.0,0.0,63.53333333333333,29.266666666666666,5.803576066738859,0.06012658227848103,0.05025736662397276,0.13643065891253636,0.13568252418026944,-0.02690534562106909,-0.03643127508037153
0.76,6,0.23,0.6,0.5,0.5,0.05,1.0,0.5,62.46666666666667,28.533333333333335,5.735605684843862,0.058649789029535875,0.07353019362546141,0.12800477114125955,0.12640600254010173,-0.03719999262662206,-0.042062760832791146
0.76,6,0.23,0.6,0.5,0.5,0.05,1.5,1.0,62.6,28.733333333333334,5.7725273851248655,0.06075949367088607,0.049321999626272726,0.12595096209561393,0.1241964515401348,-0.04108126016646371,-0.04517650117977012
0.76,6,0.23,0.6,0.5,0.7,0.05,1.0,0.0,63.13333333333333,28.866666666666667,5.778884516596395,0.05949367088607596,0.07063130837476007,0.1315944949808196,0.12936805961917408,-0.033419109253213806,-0.047271780232173516
